case_id,fraud_type,user_id,burst_size,probing_mode,device,n_transactions,auth_failures_before_success,ring_id,source,pretext,transaction_attempted,transaction_completed,credential_shared,target_outcome,amount_multiplier,urgency_level,pretext_category,fallback,label
case_card_testing_000023,card_testing,1377,5.0,incrementing,dev_1377_fraud1,,,,,,,,,,,,,,
case_account_takeover_000024,account_takeover,1377,,,dev_1377_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000025,card_testing,47,5.0,incrementing,dev_47_fraud1,,,,,,,,,,,,,,
case_account_takeover_000026,account_takeover,47,,,dev_47_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000027,card_testing,2527,4.0,independent,dev_2527_fraud1,,,,,,,,,,,,,,
case_account_takeover_000028,account_takeover,2527,,,dev_2527_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000029,card_testing,265,6.0,incrementing,dev_265_fraud1,,,,,,,,,,,,,,
case_account_takeover_000030,account_takeover,265,,,dev_265_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000031,card_testing,1184,6.0,independent,dev_1184_fraud1,,,,,,,,,,,,,,
case_account_takeover_000032,account_takeover,1184,,,dev_1184_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000033,card_testing,1887,6.0,independent,dev_1887_fraud1,,,,,,,,,,,,,,
case_account_takeover_000034,account_takeover,1887,,,dev_1887_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000035,card_testing,1712,8.0,independent,dev_1712_fraud1,,,,,,,,,,,,,,
case_account_takeover_000036,account_takeover,1712,,,dev_1712_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000037,card_testing,721,7.0,independent,dev_721_fraud1,,,,,,,,,,,,,,
case_account_takeover_000038,account_takeover,721,,,dev_721_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000039,card_testing,893,8.0,independent,dev_893_fraud1,,,,,,,,,,,,,,
case_account_takeover_000040,account_takeover,893,,,dev_893_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000041,card_testing,2328,5.0,independent,dev_2328_fraud1,,,,,,,,,,,,,,
case_account_takeover_000042,account_takeover,2328,,,dev_2328_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000043,card_testing,1754,4.0,independent,dev_1754_fraud1,,,,,,,,,,,,,,
case_account_takeover_000044,account_takeover,1754,,,dev_1754_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000045,card_testing,313,7.0,independent,dev_313_fraud1,,,,,,,,,,,,,,
case_account_takeover_000046,account_takeover,313,,,dev_313_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000047,card_testing,58,6.0,incrementing,dev_58_fraud1,,,,,,,,,,,,,,
case_account_takeover_000048,account_takeover,58,,,dev_58_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000049,card_testing,2874,6.0,independent,dev_2874_fraud1,,,,,,,,,,,,,,
case_account_takeover_000050,account_takeover,2874,,,dev_2874_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000051,card_testing,2599,5.0,independent,dev_2599_fraud1,,,,,,,,,,,,,,
case_account_takeover_000052,account_takeover,2599,,,dev_2599_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000053,card_testing,2197,7.0,independent,dev_2197_fraud1,,,,,,,,,,,,,,
case_account_takeover_000054,account_takeover,2197,,,dev_2197_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000055,card_testing,1791,6.0,independent,dev_1791_fraud1,,,,,,,,,,,,,,
case_account_takeover_000056,account_takeover,1791,,,dev_1791_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000057,card_testing,1046,6.0,independent,dev_1046_fraud1,,,,,,,,,,,,,,
case_account_takeover_000058,account_takeover,1046,,,dev_1046_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000059,card_testing,1135,8.0,independent,dev_1135_fraud1,,,,,,,,,,,,,,
case_account_takeover_000060,account_takeover,1135,,,dev_1135_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000061,card_testing,792,7.0,incrementing,dev_792_fraud1,,,,,,,,,,,,,,
case_account_takeover_000062,account_takeover,792,,,dev_792_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000063,card_testing,81,5.0,incrementing,dev_81_fraud1,,,,,,,,,,,,,,
case_account_takeover_000064,account_takeover,81,,,dev_81_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000065,card_testing,2526,4.0,independent,dev_2526_fraud1,,,,,,,,,,,,,,
case_account_takeover_000066,account_takeover,2526,,,dev_2526_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000067,card_testing,383,7.0,independent,dev_383_fraud1,,,,,,,,,,,,,,
case_account_takeover_000068,account_takeover,383,,,dev_383_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000069,card_testing,1368,5.0,incrementing,dev_1368_fraud1,,,,,,,,,,,,,,
case_account_takeover_000070,account_takeover,1368,,,dev_1368_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000071,card_testing,2178,6.0,independent,dev_2178_fraud1,,,,,,,,,,,,,,
case_account_takeover_000072,account_takeover,2178,,,dev_2178_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000073,card_testing,2789,6.0,independent,dev_2789_fraud1,,,,,,,,,,,,,,
case_account_takeover_000074,account_takeover,2789,,,dev_2789_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000075,card_testing,1595,7.0,incrementing,dev_1595_fraud1,,,,,,,,,,,,,,
case_account_takeover_000076,account_takeover,1595,,,dev_1595_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000077,card_testing,2613,6.0,independent,dev_2613_fraud1,,,,,,,,,,,,,,
case_account_takeover_000078,account_takeover,2613,,,dev_2613_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000079,card_testing,1637,8.0,independent,dev_1637_fraud1,,,,,,,,,,,,,,
case_account_takeover_000080,account_takeover,1637,,,dev_1637_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000081,card_testing,345,7.0,independent,dev_345_fraud1,,,,,,,,,,,,,,
case_account_takeover_000082,account_takeover,345,,,dev_345_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000083,card_testing,1125,8.0,independent,dev_1125_fraud1,,,,,,,,,,,,,,
case_account_takeover_000084,account_takeover,1125,,,dev_1125_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000085,card_testing,656,6.0,incrementing,dev_656_fraud1,,,,,,,,,,,,,,
case_account_takeover_000086,account_takeover,656,,,dev_656_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000087,card_testing,1362,4.0,independent,dev_1362_fraud1,,,,,,,,,,,,,,
case_account_takeover_000088,account_takeover,1362,,,dev_1362_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000089,card_testing,1449,8.0,independent,dev_1449_fraud1,,,,,,,,,,,,,,
case_account_takeover_000090,account_takeover,1449,,,dev_1449_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000091,card_testing,1943,6.0,independent,dev_1943_fraud1,,,,,,,,,,,,,,
case_account_takeover_000092,account_takeover,1943,,,dev_1943_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000093,card_testing,1992,4.0,independent,dev_1992_fraud1,,,,,,,,,,,,,,
case_account_takeover_000094,account_takeover,1992,,,dev_1992_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000095,card_testing,1974,4.0,incrementing,dev_1974_fraud1,,,,,,,,,,,,,,
case_account_takeover_000096,account_takeover,1974,,,dev_1974_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000097,card_testing,964,6.0,incrementing,dev_964_fraud1,,,,,,,,,,,,,,
case_account_takeover_000098,account_takeover,964,,,dev_964_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000099,card_testing,719,6.0,incrementing,dev_719_fraud1,,,,,,,,,,,,,,
case_account_takeover_000100,account_takeover,719,,,dev_719_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000101,card_testing,651,4.0,independent,dev_651_fraud1,,,,,,,,,,,,,,
case_account_takeover_000102,account_takeover,651,,,dev_651_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000103,card_testing,2498,8.0,independent,dev_2498_fraud1,,,,,,,,,,,,,,
case_account_takeover_000104,account_takeover,2498,,,dev_2498_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000105,card_testing,112,4.0,incrementing,dev_112_fraud1,,,,,,,,,,,,,,
case_account_takeover_000106,account_takeover,112,,,dev_112_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000107,card_testing,544,8.0,incrementing,dev_544_fraud1,,,,,,,,,,,,,,
case_account_takeover_000108,account_takeover,544,,,dev_544_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000109,card_testing,2717,5.0,independent,dev_2717_fraud1,,,,,,,,,,,,,,
case_account_takeover_000110,account_takeover,2717,,,dev_2717_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000111,card_testing,2018,7.0,independent,dev_2018_fraud1,,,,,,,,,,,,,,
case_account_takeover_000112,account_takeover,2018,,,dev_2018_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000113,card_testing,2714,6.0,independent,dev_2714_fraud1,,,,,,,,,,,,,,
case_account_takeover_000114,account_takeover,2714,,,dev_2714_fraud2,1.0,,,,,,,,,,,,,
case_card_testing_000115,card_testing,1213,7.0,incrementing,dev_1213_fraud1,,,,,,,,,,,,,,
case_account_takeover_000116,account_takeover,1213,,,dev_1213_fraud2,2.0,,,,,,,,,,,,,
case_card_testing_000117,card_testing,1276,6.0,incrementing,dev_1276_fraud1,,,,,,,,,,,,,,
case_account_takeover_000118,account_takeover,1276,,,dev_1276_fraud2,1.0,,,,,,,,,,,,,
case_auth_bypass_000119,auth_bypass,493,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000120,auth_bypass,761,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000121,auth_bypass,1287,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000122,auth_bypass,1324,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000123,auth_bypass,2553,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000124,auth_bypass,2521,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000125,auth_bypass,1977,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000126,auth_bypass,1384,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000127,auth_bypass,1271,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000128,auth_bypass,444,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000129,auth_bypass,1179,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000130,auth_bypass,1610,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000131,auth_bypass,2518,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000132,auth_bypass,2539,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000133,auth_bypass,1367,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000134,auth_bypass,487,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000135,auth_bypass,1254,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000136,auth_bypass,1204,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000137,auth_bypass,1187,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000138,auth_bypass,2681,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000139,auth_bypass,360,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000140,auth_bypass,2064,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000141,auth_bypass,602,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000142,auth_bypass,2244,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000143,auth_bypass,2827,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000144,auth_bypass,357,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000145,auth_bypass,290,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000146,auth_bypass,2549,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000147,auth_bypass,2276,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000148,auth_bypass,659,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000149,auth_bypass,2310,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000150,auth_bypass,1438,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000151,auth_bypass,2250,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000152,auth_bypass,1560,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000153,auth_bypass,1501,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000154,auth_bypass,1904,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000155,auth_bypass,52,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000156,auth_bypass,737,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000157,auth_bypass,2903,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000158,auth_bypass,232,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000159,auth_bypass,2527,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000160,auth_bypass,1423,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000161,auth_bypass,235,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000162,auth_bypass,498,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000163,auth_bypass,1210,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000164,auth_bypass,335,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000165,auth_bypass,278,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000166,auth_bypass,1937,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000167,auth_bypass,2289,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000168,auth_bypass,1309,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000169,auth_bypass,2234,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000170,auth_bypass,137,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000171,auth_bypass,2175,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000172,auth_bypass,1104,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000173,auth_bypass,2369,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000174,auth_bypass,241,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000175,auth_bypass,136,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000176,auth_bypass,2173,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000177,auth_bypass,2161,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000178,auth_bypass,153,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000179,auth_bypass,1944,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000180,auth_bypass,767,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000181,auth_bypass,600,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000182,auth_bypass,1956,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000183,auth_bypass,462,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000184,auth_bypass,2653,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000185,auth_bypass,1639,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000186,auth_bypass,1581,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000187,auth_bypass,732,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000188,auth_bypass,2294,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000189,auth_bypass,2037,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000190,auth_bypass,2515,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000191,auth_bypass,1305,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000192,auth_bypass,114,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000193,auth_bypass,1614,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000194,auth_bypass,2265,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000195,auth_bypass,337,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000196,auth_bypass,1646,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000197,auth_bypass,228,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000198,auth_bypass,944,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000199,auth_bypass,2461,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000200,auth_bypass,2155,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000201,auth_bypass,1588,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000202,auth_bypass,1328,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000203,auth_bypass,2700,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000204,auth_bypass,2703,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000205,auth_bypass,1139,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000206,auth_bypass,2211,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000207,auth_bypass,2846,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000208,auth_bypass,1023,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000209,auth_bypass,2473,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000210,auth_bypass,2837,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000211,auth_bypass,1911,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000212,auth_bypass,480,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000213,auth_bypass,1344,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000214,auth_bypass,2112,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000215,auth_bypass,1576,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000216,auth_bypass,1267,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000217,auth_bypass,683,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000218,auth_bypass,2171,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000219,auth_bypass,1483,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000220,auth_bypass,1141,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000221,auth_bypass,1602,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000222,auth_bypass,485,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000223,auth_bypass,2082,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000224,auth_bypass,434,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000225,auth_bypass,1020,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000226,auth_bypass,400,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000227,auth_bypass,1224,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000228,auth_bypass,2347,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000229,auth_bypass,524,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000230,auth_bypass,93,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000231,auth_bypass,399,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000232,auth_bypass,834,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000233,auth_bypass,2958,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000234,auth_bypass,2821,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000235,auth_bypass,2272,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000236,auth_bypass,2650,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000237,auth_bypass,700,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000238,auth_bypass,2326,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000239,auth_bypass,380,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000240,auth_bypass,1878,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000241,auth_bypass,1313,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000242,auth_bypass,1768,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000243,auth_bypass,2833,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000244,auth_bypass,244,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000245,auth_bypass,848,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000246,auth_bypass,2717,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000247,auth_bypass,397,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000248,auth_bypass,1149,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000249,auth_bypass,208,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000250,auth_bypass,405,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000251,auth_bypass,1630,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000252,auth_bypass,1795,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000253,auth_bypass,2769,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000254,auth_bypass,2293,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000255,auth_bypass,1910,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000256,auth_bypass,2491,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000257,auth_bypass,2994,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000258,auth_bypass,2825,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000259,auth_bypass,2853,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000260,auth_bypass,297,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000261,auth_bypass,2040,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000262,auth_bypass,2577,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000263,auth_bypass,2189,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000264,auth_bypass,2268,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000265,auth_bypass,1042,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000266,auth_bypass,172,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000267,auth_bypass,181,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000268,auth_bypass,1666,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000269,auth_bypass,1670,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000270,auth_bypass,379,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000271,auth_bypass,2526,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000272,auth_bypass,2046,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000273,auth_bypass,2918,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000274,auth_bypass,506,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000275,auth_bypass,2678,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000276,auth_bypass,1875,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000277,auth_bypass,1496,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000278,auth_bypass,2806,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000279,auth_bypass,279,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000280,auth_bypass,951,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000281,auth_bypass,798,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000282,auth_bypass,983,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000283,auth_bypass,1227,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000284,auth_bypass,2149,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000285,auth_bypass,346,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000286,auth_bypass,459,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000287,auth_bypass,2180,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000288,auth_bypass,964,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000289,auth_bypass,1528,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000290,auth_bypass,1006,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000291,auth_bypass,2439,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000292,auth_bypass,1429,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000293,auth_bypass,2172,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000294,auth_bypass,8,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000295,auth_bypass,2269,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000296,auth_bypass,1436,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000297,auth_bypass,1540,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000298,auth_bypass,2493,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000299,auth_bypass,1921,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000300,auth_bypass,1184,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000301,auth_bypass,259,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000302,auth_bypass,1148,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000303,auth_bypass,1563,,,,,2.0,,,,,,,,,,,,
case_auth_bypass_000304,auth_bypass,117,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000305,auth_bypass,2643,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000306,auth_bypass,1463,,,,,1.0,,,,,,,,,,,,
case_auth_bypass_000307,auth_bypass,2119,,,,,3.0,,,,,,,,,,,,
case_auth_bypass_000308,auth_bypass,107,,,,,1.0,,,,,,,,,,,,
